Rawfilenumber	Sample	Protease	run	replicate
EH4555	27	Ct+Tryp	run1	1
EH4556	27	Ct+Tryp	run1	2
EH4557	27	Ct+Tryp	run1	3
EH4561	28	Ct+Tryp	run1	1
EH4562	28	Ct+Tryp	run1	2
EH4563	28	Ct+Tryp	run1	3
EH4567	29	Ct+Tryp	run1	1
EH4568	29	Ct+Tryp	run1	2
EH4569	29	Ct+Tryp	run1	3
EH4573	30	Ct+Tryp	run1	1
EH4574	30	Ct+Tryp	run1	2
EH4575	30	Ct+Tryp	run1	3
EH4579	31	Ct+Tryp	run1	1
EH4580	31	Ct+Tryp	run1	2
EH4581	31	Ct+Tryp	run1	3
EH4585	32	Ct+Tryp	run1	1
EH4586	32	Ct+Tryp	run1	2
EH4587	32	Ct+Tryp	run1	3
EH4591	33	Ct+Tryp	run1	1
EH4592	33	Ct+Tryp	run1	2
EH4593	33	Ct+Tryp	run1	3
EH4597	34	Ct+Tryp	run1	1
EH4598	34	Ct+Tryp	run1	2
EH4599	34	Ct+Tryp	run1	3
EH4603	35	Ct+Tryp	run1	1
EH4604	35	Ct+Tryp	run1	2
EH4605	35	Ct+Tryp	run1	3
EH4609	36	Ct+Tryp	run1	1
EH4610	36	Ct+Tryp	run1	2
EH4611	36	Ct+Tryp	run1	3
EH4612	37	Ct+Tryp	run1	1
EH4613	37	Ct+Tryp	run1	2
EH4614	37	Ct+Tryp	run1	3
EH4615	38	Ct+Tryp	run1	1
EH4616	38	Ct+Tryp	run1	2
EH4617	38	Ct+Tryp	run1	3
EH4618	39	Ct+Tryp	run1	1
EH4619	39	Ct+Tryp	run1	2
EH4620	39	Ct+Tryp	run1	3
EH4624	40	Ct+Tryp	run1	1
EH4625	40	Ct+Tryp	run1	2
EH4626	40	Ct+Tryp	run1	3
EH4627	41	Ct+Tryp	run1	1
EH4628	41	Ct+Tryp	run1	2
EH4629	41	Ct+Tryp	run1	3
EH4630	42	Ct+Tryp	run1	1
EH4631	42	Ct+Tryp	run1	2
EH4632	42	Ct+Tryp	run1	3
