Rawfilenumber	Sample	Protease	run	replicate
EH4099	3	AspN	run1	2
EH4100	3	AspN	run1	3
EH4101	blank	AspN	run1	NA
EH4102	4	AspN	run1	1
EH4103	4	AspN	run1	2
EH4104	4	AspN	run1	3
EH4105	blank	AspN	run1	NA
EH4106	5	AspN	run1	1
EH4107	5	AspN	run1	2
EH4108	5	AspN	run1	3
EH4109	blank	AspN	run1	NA
EH4110	blank	AspN	run1	NA
EH4111	blank	AspN	run1	NA
EH4112	6	AspN	run1	1
EH4113	6	AspN	run1	2
EH4114	6	AspN	run1	3
EH4115	blank	AspN	run1	NA
EH4116	7	AspN	run1	1
EH4117	7	AspN	run1	2
EH4118	7	AspN	run1	3
EH4119	blank	AspN	run1	NA
EH4120	8	AspN	run1	1
EH4121	8	AspN	run1	2
EH4122	8	AspN	run1	3
EH4123	blank	AspN	run1	NA
EH4124	9	AspN	run1	1
EH4125	9	AspN	run1	2
EH4126	9	AspN	run1	3
EH4127	blank	AspN	run1	NA
EH4128	10	AspN	run1	1
EH4129	10	AspN	run1	2
EH4130	10	AspN	run1	3
EH4131	blank	AspN	run1	NA
EH4132	blank	AspN	run1	NA
EH4133	blank	AspN	run1	NA
EH4134	11	AspN	run1	1
EH4135	11	AspN	run1	2
EH4136	11	AspN	run1	3
EH4137	blank	AspN	run1	NA
EH4138	12	AspN	run1	1
EH4139	12	AspN	run1	2
EH4140	12	AspN	run1	3
EH4141	blank	AspN	run1	NA
EH4142	13	AspN	run1	1
EH4143	13	AspN	run1	2
EH4144	13	AspN	run1	3
EH4145	blank	AspN	run1	NA
EH4146	14	AspN	run1	1
EH4147	14	AspN	run1	2
EH4148	14	AspN	run1	3
EH4149	blank	AspN	run1	NA
EH4150	15	AspN	run1	1
EH4151	15	AspN	run1	2
EH4152	15	AspN	run1	3
EH4153	blank	AspN	run1	NA
EH4154	16	AspN	run1	1
EH4155	16	AspN	run1	2
EH4156	16	AspN	run1	3
EH4157	blank	AspN	run1	NA
EH4158	blank	AspN	run1	NA
EH4159	blank	AspN	run1	NA
EH4160	17	AspN	run1	1
EH4161	17	AspN	run1	2
EH4162	17	AspN	run1	3
EH4163	blank	AspN	run1	NA
EH4164	18	AspN	run1	1
EH4165	18	AspN	run1	2
EH4166	18	AspN	run1	3
EH4167	blank	AspN	run1	NA
EH4168	19	AspN	run1	1
EH4169	19	AspN	run1	2
EH4170	19	AspN	run1	3
EH4171	blank	AspN	run1	NA
EH4172	20	AspN	run1	1
EH4173	20	AspN	run1	2
EH4174	20	AspN	run1	3
EH4175	blank	AspN	run1	NA
EH4176	21	AspN	run1	1
EH4177	21	AspN	run1	2
EH4178	21	AspN	run1	3
EH4179	blank	AspN	run1	NA
EH4180	blank	AspN	run1	NA
EH4181	blank	AspN	run1	NA
EH4182	22	AspN	run1	1
EH4183	22	AspN	run1	2
EH4184	22	AspN	run1	3
EH4185	blank	AspN	run1	NA
EH4186	23	AspN	run1	1
EH4187	23	AspN	run1	2
EH4188	23	AspN	run1	3
EH4189	blank	AspN	run1	NA
EH4190	24	AspN	run1	1
EH4191	24	AspN	run1	2
EH4192	24	AspN	run1	3
EH4193	blank	AspN	run1	NA
EH4194	25	AspN	run1	1
EH4195	25	AspN	run1	2
EH4196	25	AspN	run1	3
EH4197	blank	AspN	run1	NA
EH4198	blank	AspN	run1	NA
EH4199	blank	AspN	run1	NA
EH4200	26	AspN	run1	1
EH4201	26	AspN	run1	2
EH4202	26	AspN	run1	3
EH4203	blank	AspN	run1	NA
EH4204	blank	AspN	run1	NA
EH4205	blank	AspN	run1	NA
EH4206	27	AspN	run1	1
EH4207	27	AspN	run1	2
EH4208	27	AspN	run1	3
EH4209	blank	AspN	run1	NA
EH4210	blank	AspN	run1	NA
EH4211	blank	AspN	run1	NA
EH4212	28	AspN	run1	1
EH4213	28	AspN	run1	2
EH4214	28	AspN	run1	3
